Institutional_Owner,Shelfmark,Title,Publisher,Creator,Type_of_Content,Date_of_Map,Technique,Subject,Annotation,Rights,Language,Date_of_Publication,Distribution_Format,Geographic_Location,Scale_of_Map,Reference_System,Mapping_Methods,Map_Format,Source_Materials,Pagination,Annotation_Edition,Annotation_Library_Index,Other_Annotation,PPN,Region_Keyword,Additional_Signature,Item_URL,OCLC_number,Date_created,Date_modified,CONTENTdm_number,CONTENTdm_file_name,CONTENTdm_file_path
,uklu 01-13-27,Afstandswijzer voor de provincie Groningen : (volgens den afstandswijzer vastgesteld door den Minister van Oorlog),[Groningen : Steendr. v.d. Weijer],,,1870,,krt-1830-grp,Impressum en jaar van uitgave ontleend aan oudere beschijving door M. Backer |,,,,,74.20 geografie van Nederland |,[ca. 1:200.000],,,"46,5 x 38,5 cm, zonder rand","lithografie, in kleur",1 krt,,Linksonder: Herleidingstafel van kilometers tot uren en onderdeelen daarvan |,Geplakt op linnen | Bibliotheek Backer |,147572304,4.210.230 Groningen (provincie) |,BACKER PORT 08 NO21 | BB portef. VIII nr. 21 | ; krt-1830-grp,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1709,,2012-10-24,2012-10-24,1709,7310.cpd,/Kaarten/image/7310.cpd
,uklu 04-09-plaat1-1830,Kaart van Groningen en Drenthe,Te Haarlem : bij de Erven F. Bohn,,,1830,,krt-1830-nne-kvge,Met tabel inzake bevolking en afstanden |,,,,,74.20 geografie van Nederland |,Schaal [ca. 1:500.000],,,"25,4 x 20,4 cm",kopergrav,1 krt,,,"Grensgekleurd, provincies heel licht ingekleurd |",15322908X,4.210.230 Groningen (provincie) | 4.210.250 Drenthe |,krt-1830-nne-kvge,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1711,,2012-10-24,2012-10-24,1711,7312.cpd,/Kaarten/image/7312.cpd
,uklu 01-06-11,Plan van de stad Groningen met derzelver oude en nieuwe afwateringen,Te Groningen : bij J. Oomkens,,,1834,,krt-1834-grs,,,,,,74.20 geografie van Nederland |,Schaal van 1 : 5.000,,,42 x 64 cm,kopergrav,1 plgr,,Met: Aanwijzing van alle straten en pleinen ... |,Geplakt op linnen | Bibliotheek Backer |,124306632,4.210.230 Groningen (stad) |,BACKER PORT 09 NO20 | BB portef. 9 no. 20 | ; krt-1834-grs,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1713,,2012-10-24,2012-10-24,1713,7314.cpd,/Kaarten/image/7314.cpd
,uklu 01-20-09,Hydrographische kaart van het Vriesche Zeegat : met een gedeelte der Vriesche en Groningsche Wadden,Te Amsterdam : bij de Wed.G.Hulst van Keulen,"Keuchenius, J.C.",,1834,,krt-1834-nne,,,,,,74.17 geografie van de wereldzeeen |,Schaal van 1:50.000,,,63 x 90 cm,kopergrav,1 kaart,,,Geplakt op linnen |,134800443,3.113 Waddenzee | 3.113 Friese gat |,krt-1834-nne,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1715,,2012-10-24,2012-10-24,1715,7316.cpd,/Kaarten/image/7316.cpd
,uklu 01-09-01,Kaart van de provincie Groningen : met een gedeelte van Drenthe &#38; Vriesland,Te Groningen : bij J. Oomkens,"Jappe, J.H.",,1835,,krt-1835-grp-1  krt-1835-grp-2  krt-1835-grp-3  krt-1835-grp-4  krt-1835-grp-1-a  krt-1835-grp-2-a  krt-1835-grp-3-a  krt-1835-grp-4-a  krt-1835-grp-5-a  krt-1835-grp-6-a  krt-1835-grp-7-a  krt-1835-grp-8-a,"Beschreven in: J.J. Vredenburg-Alink, De kaarten van Groningerland. 1974. VII 9 |",,,,,74.20 geografie van Nederland |,Schaal 1:50.000,,,"60,5 x 82 cm, totaal 121 x 156 cm",koperdruk,1 krt in 4 bladen,Inzet,Met lijst van zijlvesten |,"Gekleurd, aaneengeplakt op linnen, de randen afgesneden | Bibliotheek Backer | Gekleurd, in fragmenten gesneden, geplakt op linnen, gevouwen in foedraal 22 x 15 cm |",111205247,4.210.230 Groningen (provincie) | 4.210.210 Friesland | 4.210.250 Drenthe |,BB kaartenkist 5 | Uq---- 2 | ; krt-1835-grp-1,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1728,,2012-10-24,2012-10-24,1728,7329.cpd,/Kaarten/image/7329.cpd
,uklu 01-05-05,"Kaart van de provincie Groningen met aanduiding van de grondsgesteldheid en den waterstaat en vele, voor de geschiedenis van haren bodem belangrijke bijzonderheden; opgemaakt naar de bestaande kaarten en volgens nadere opnemingen en inlichtingen met behulp der Commissie van onderwijs aldaar, van de gemeente-besturen en van andere deskundigen",[Groningen : J.A. Smit van der Vegt] ; [Groningen] : gedrukt ter Kunstplaatdrukkerij van der Wed. Koning en Brugman,"Smit van der Vegt, J.A.",,1837,,krt-1837-grp-1  krt-1837-grp-2  krt-1837-grp-3  krt-1837-grp-4,Naam uitgever ontleend aan: Beschrijving ... /[door G. Acker Stratingh]. 1839 | Met aanduiding der Zijlvesten |,,,,,38.60 bodemkunde (aardwetenschappen) |,Schaal [ca. 1:110.000],,,68 x 94 cm,kopergrav,1 krt,Met inzet linksboven,,"gekleurd | gekleurd, geplakt op linnen |",097775851,4.210.230 Groningen (provincie) |,Uq---- 6 | BACKER PORT 06 NO11 | ; krt-1837-grp-1,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1730,,2012-10-24,2012-10-24,1730,7331.cpd,/Kaarten/image/7331.cpd
,uklu 01-21-03,Kaart van de provincie Groningen : met een gedeelte van Vriesland &#38; Drenthe,[Groningen] : J. Oomkens,"Jappe, J.H.",,1838,,krt-1838-grp,"Beschreven in: J.J. Vredenburg-Alink, De kaarten van Groningerland. 1974. VII 11 |",,,,,74.20 geografie van Nederland |,Schaal van 1:100.000,,,"totaal 69,5 x 74 cm","steendruk, handgekleurd","1 krt in 2 bladen, aaneengeplakt",Met inzet,,geplakt op linnen ; de randen afgesneden | Bibliotheek Backer |,111359368,4.210.230 Groningen (provincie) | 4.210.210 Friesland | 4.210.250 Drenthe |,BACKER PORT 06 NO06 | ; krt-1838-grp,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1732,,2012-10-24,2012-10-24,1732,7333.cpd,/Kaarten/image/7333.cpd
,uklu 01-21-04,Kaart van de provincie Groningen : met een gedeelte van Vriesland &#38; Drenthe,[Groningen] : J. Oomkens,"Jappe, J.H.",,1841,,krt-1841-grp,"Beschreven in: J.J. Vredenburg-Alink, De kaarten van Groningerland. 1974. VII 12 |",,,,,74.20 geografie van Nederland |,Schaal van 1:100.000,,,"totaal 69,5 x 74 cm","steendruk, handgekleurd","1 krt in 2 bladen, aaneengeplakt",Met inzet,,Onder de kaart getekende legenda betreffende de wegen | geplakt op linnen | Bibliotheek Backer |,111414563,4.210.230 Groningen (provincie) | 4.210.210 Friesland | 4.210.250 Drenthe |,BACKER PORT 06 NO07 | ; krt-1841-grp,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1734,,2012-10-24,2012-10-24,1734,7335.cpd,/Kaarten/image/7335.cpd
,uklu 01-04-10,Wad kaart behoorende bij de Verhandeling over de kweller kwestie,[Groningen : Van Bolhuis Hoitsema] ; Groningen : lith. atelier v. J. Jaeger,"Westerhoff, R.",,1842,,krt-1842-grp-a  krt-1842-grp,"Jaartal op de kaart varieert, soms 1842, 1843 en 1844 |",,,,,74.20 geografie van Nederland | 74.19 geografie van Europa |,[ca. 1:200.000],,,"25,5 x 33,5 cm",lithografie,1 krt,,,"Bibliotheek Backer | De randen bijgesneden, geplakt op linnen | Bibliotheek Backer |",134920856,3.113 Waddenzee |,BACKER LIJST pr37 ex2 | BACKER PORT 05 NO13A | BACKER PORT 05 NO13 | BACKER LIJST pr37 | ; krt-1842-grp,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1737,,2012-10-24,2012-10-24,1737,7338.cpd,/Kaarten/image/7338.cpd
,uklu 01-15-16,Kaart van Nederlands Oostindische bezittingen,[S.l.] : Maatschappij tot het Nut van 't Algemeen,,,1843,,krt-1843-indo,,,,,,74.21 geografie van Azie |,[ca. 1:7.000.000],,,"33 x 64,5 cm",gravure,1 kaart,,,Geplakt op linnen | Bibliotheek Backer |,095027904,5.580 Indonesie |,BACKER PORT 11 NO18 | BB portef. XI nr. 18 | ; krt-1843-indo,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1739,,2012-10-24,2012-10-24,1739,7340.cpd,/Kaarten/image/7340.cpd
,uklu 01-10-05,Statistieke kaart van de provincie Utrecht,'s Hage : Lith. Huart ; Utrecht : bij W.C.J. Bollaan,"Kasteele, L.",,1844,,krt-1844-utr,,,,,,74.20 geografie van Nederland |,Schaal [ca. 1:120.000],,,"55,5x72 cm",steendruk,1 krt,,Met lijsten van waterschappen en polders |,Met sticker: Ex dono Ministerii Regii |,124612148,4.210.350 Utrecht (provincie) |,krt-1844-utr,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1741,,2012-10-24,2012-10-24,1741,7342.cpd,/Kaarten/image/7342.cpd
,uklu 01-03-12,Plan von Jerusalem,Berlin : Verlag von S./Schropp &#38; Co.,"Schultz, Ernst Gustav",,1845,,krt-1845-isr,"Beschreven in: Catalogue of printed maps ... . The British museum. vol. 8 , 132 |",,,,,74.19 geografie van Europa |,Maasstab im 1:6.000,,,"63 x 51,5 cm",kleurenlithografie,1 plgr,,,,126882096,5.225 Jeruzalem |,SS---- 4 | ; krt-1845-isr,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1743,,2012-10-24,2012-10-24,1743,7344.cpd,/Kaarten/image/7344.cpd
,uklu 01-01-45,"Urbs Roma antiqua : in XIV regiones Augustales divisa, moenibus Servianis, Aurelianis quaeque nunc sunt septa",Darmstadii : Jonghaus &#38; Venater,"Ewald, L.",,1845,,krt-1845-ita,,,,,,74.19 geografie van Europa |,1:19.000,,,35 x 43 cm,kleurendruk,1 krt,,,,138256586,4.660 Rome |,krt-1845-ita,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1745,,2012-10-24,2012-10-24,1745,7346.cpd,/Kaarten/image/7346.cpd
,uklu 04-07-1846,Proef van bewerking der bekroonde school-kaart van het Koningrijk der Nederlanden,Groningen : J. Oomkens J.zoon,"Puls, H.F.",,1846,,krt-1846-grp-pvbd,,,,,,74.20 geografie van Nederland |,[ca. 1:160.000],,,"20 x 26,5 cm",,1 krt,,,gekleurd |,138945357,4.210.230 Groningen (provincie) |,krt-1846-grp-pvbd,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1747,,2012-10-24,2012-10-24,1747,7348.cpd,/Kaarten/image/7348.cpd
,uklu 01-04-05,Kaart van Kolham : behoorende bij de Beschrijving van Kolham door S.J. Rutgers,[Groningen : H.R. Roelfsema],,,1849,,krt-1849-grp,,,,,,74.20 geografie van Nederland |,[ca. 1:24.000],,,"24 x 22,5 cm",lithografie,1 krt,,,geplakt op linnen | Bibliotheek Backer |,108586022,4.210.230 Kolham |,BACKER PORT 04 NO06 | ; krt-1849-grp,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1749,,2012-10-24,2012-10-24,1749,7350.cpd,/Kaarten/image/7350.cpd
,uklu 01-15-06,"Kaart van een gedeelte der buitenlanden bij de Beersterzijl : aanwijzende de lijn van scheiding uit de Bellingwolderzijl op de landpunt Reide, tusschen de particuliere ingelanden en de stad Groningen ...",,"Rees, W.",,1850,,krt-1850-grp,,,,,,74.20 geografie van Nederland |,Schaal van 1: 5000,,,"56,5 x 41 cm",pentekening,1 manuscriptkrt,,,Geplakt op linnen | Bibliotheek Backer |,152825584,4.210.230 Finsterwolde |,BB portef. III nr. 11 | BACKER PORT 03 NO11 | ; krt-1850-grp,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1751,,2012-10-24,2012-10-24,1751,7352.cpd,/Kaarten/image/7352.cpd
,uklu 01-04-26,[Kaart van de beleegering der stad Groningen door Maurits in 1594],[Groningen : Erven C.M. van Bolhuis Hoitsema],,,1850,,krt-1850-grs,,,,,,74.20 geografie van Nederland |,[zonder schaal],,,23 x 31 cm,steendruk,1 panoramakrt,,,Geplakt op linnen | Bibliotheek Backer |,10971542X,4.210.230 Groningen (stad) |,BACKER PORT 09 NO01 | ; krt-1850-grs,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1753,,2012-10-24,2012-10-24,1753,7354.cpd,/Kaarten/image/7354.cpd
,uklu 02-16-22,"Special Karte von Deutschland, Niederlande und Belgien : Sect. 1 der ganzen Karte","Wolfenbüttel [etc]: Holle'schen Buch-, Kunst und Musikalien Handlung [etc.]","Bomsdorff, von",,1851,,krt-1851-ost-skvd,,,,,,74.19 geografie van Europa |,Maasstab [ca. 1:200.000],,,46 x 64 cm,lithografie,1 kaartblad,,,Gekleurd |,155392603,4.415 Ostfriesland |,krt-1851-ost-skvd,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1755,,2012-10-24,2012-10-24,1755,7356.cpd,/Kaarten/image/7356.cpd
,uklu 01-01-28,Spain and Portugal,London [etc.] : J. &#38; F. Tallis,"Rapkin, J.",,1851,,krt-1851-spa-por,,,,,,74.19 geografie van Europa |,[ca. 1:3.400.000],,,24 x 32 cm,,,,,De randen gekleurd |,138259739,4.600 Iberisch schiereiland |,krt-1851-spa-por,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1757,,2012-10-24,2012-10-24,1757,7358.cpd,/Kaarten/image/7358.cpd
,uklu 01-01-63,Groningen : 1849,[Amsterdam] : C.L. Brinkman exc.,"Gouw, J.",,1852,,krt-1852-grp,,,,,,74.20 geografie van Nederland |,[ca. 1:780.000],,,"14,5 x 18 cm",gravure,1 krt,,,,138914494,4.210.230 Groningen (provincie) |,krt-1852-grp,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1759,,2012-10-24,2012-10-24,1759,7360.cpd,/Kaarten/image/7360.cpd
,uklu 01-04-32,"Platte grond van de stad Groningen, in de jaren 1568 tot 1577",[Groningen : H.R. Roelfsema],"Reinders, B.",,1852,,krt-1852-grs-pgv  kb-1852-grs-pgsg-450-2,,,,,,74.20 geografie van Nederland |,[ca. 1:5.800],,,"26 x 33,5 cm",lithografie,1 plattegrond,,"Met lijsten van publieke gebouwen, van poorten en van markten en straten |",Geplakt op linnen | Bibliotheek Backer | Kaart in boek tussen p. 312 en 313 van dl. 1 | Kaart in dl. 1 |,108901467,4.210.230 Groningen (stad) |,BACKER PORT 09 NO05 | ; krt-1852-grs-pgv,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1761,,2012-10-24,2012-10-24,1761,7362.cpd,/Kaarten/image/7362.cpd
,uklu 01-04-34,Plan van de stad Groningen van voor het jaar 1568 : uit eene reeks van Nederlandsche plattegronden van dien tijd voorhanden in de verzameling van Mr. J.T. Bodel Nijenhuis te Leiden,[Groningen : Roelfsema],,,1852,,krt-1852-grs-pvd  kb-1852-grs-pvsg-450,,,,,,74.20 geografie van Nederland |,[ca. 1:16.000],,,"7 x 8,5 cm",steendruk,1 plgr,,,"Geplakt op linnen | Bibliotheek Backer | Kaart in boek, tussen p. 312 en 313 van dl. 1 | Kaart in dl. 1 |",110028295,4.210.230 Groningen (stad) |,BACKER PORT 09 NO07 | ; krt-1852-grs-pvd,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1763,,2012-10-24,2012-10-24,1763,7364.cpd,/Kaarten/image/7364.cpd
,uklu 01-02-08,Kaart van het Gouvernement Sumatra's Westkust : opgenomen en zamengesteld in de jaren 1843 tot 1847,Batavia : Topographisch Bureau ; Breda : A.J. Bogaerts,"Beijerink, L.W.",,1852,,krt-1852-indo-1  krt-1852-indo-2,"Overgebragt op de schaal van 1:500.000 bij het Topographisch Bureau te Batavia op last van Zijne Hoogheid den Hertog Bernhard van Saxe Weimar, Generaal der Infanterie, Commandant van het Indisch Leger, door den teekenaar F. Cronenberg onder toezigt van den Kapitein der Genie I.C.R. Steinmetz, Chef van het Topographisch Bureau | Uitgebragt voor rekening van het Ministerie van Kolonien |",,,,,74.21 geografie van Azie |,Schaal van 1:500.000,,,139 x 47 cm,steendruk,1 kaart in 2 bladen,Met inzet,,,104264403,5.580 Sumatera |,krt-1852-indo-1,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1766,,2012-10-24,2012-10-24,1766,7367.cpd,/Kaarten/image/7367.cpd
,uklu 01-17-03,"Kaart van Nederland, aanwijzende de oude bewoners en plaatsen, verdeeling in gouwen, waar Germaansche en Romeinsche oudheden gevonden zijn enz.",Te Groningen : bij R.J. Schierbeek,"Stratingh, G.A.",,1852,,krt-1852-ned-jaeg  krt-1852-ned,"Ook, met iets gewijzigde titel, verschenen bij: G.A. Stratingh, Aloude staat en geschiedenis der vaderlands. Dl. II. 1852 | Rechtsonder: Lith. atel. v. J. Jaeger te Groningen |",,,,,74.20 geografie van Nederland |,[ca. 1:520.000],,,61 x 55 cm,,1 krt,Inzet,,gekleurd | Legaat Pelinck Stratingh | gekleurd | In het handschrift van de auteur impressum en enkele verbeteringen toegevoegd | Geplakt op linnen | Pelinck Stratingh |,133949885,4.210 Nederland |,Pelinck Stratingh | 6253/1972 | KK 18-5 | 3435/1973 | ; krt-1852-ned-jaeg,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1769,,2012-10-24,2012-10-24,1769,7370.cpd,/Kaarten/image/7370.cpd
,uklu 01-02-13,Karte von Alt Indien zu Prof. Chr. Lassens Indischer Altertumskunde,Bonn : H.B. König,"Kiepert, H.",,1853,,krt-1853-azi,,,,,,74.21 geografie van Azie |,Maasstaebe 1:5.000.000,,,71 x 59 cm,kleurendruk,1 kaart,Inzet linksonder,,,090997492,5.400 Zuid-Azie |,'si f---- 1 | ; krt-1853-azi,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1771,,2012-10-24,2012-10-24,1771,7372.cpd,/Kaarten/image/7372.cpd
,uklu 02-11-28,Breda en omstreken : getrokken uit de kadastrale stukken en gebragt op de schaal van 1 à 10.000,Breda : J. Hermans,"Haan, I.C.A.",,1853,,krt-1853-ned-breda,,,,,,74.20 geografie van Nederland |,1:10.000,,,elk 63 x 50 cm,,1 krt in 2 bladen,,Met : Aanduiding der straten en niet vermelde publieke gebouwen |,"Het oostelijke blad ontbreekt | Legaat Mijjer, coll. Hallema |",149271131,4.210.430 Breda (stad) |,krt-1853-ned-breda,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1773,,2012-10-24,2012-10-24,1773,7374.cpd,/Kaarten/image/7374.cpd
,uklu 01-17-10,Kaart van den Dollard (bij laag water) en zijne omstreken : behoorende bij de Beschrijving daarvan,Te Groningen : bij J. Oomkens J. zoon etc.,"Stratingh, G.A.",,1854,,krt-1854-grp,,,,,,74.20 geografie van Nederland |,[ca. 1:80.000],,,42 x 46 cm,lithografie,1 krt,,,"Vermoedelijk proefdruk: de kaart uit ""De Dollard"" is gekleurd, is gevouwen [geweest] en heeft als jaar van uitgave 1855 | Geplakt op linnen | Legaat Pelinck-Stratingh |",160498589,3.113 Dollard | 4.210.230 Oldambt |,Pelinck Stratingh | 6243/1972 | ; krt-1854-grp,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1775,,2012-10-24,2012-10-24,1775,7376.cpd,/Kaarten/image/7376.cpd
,uklu 01-22-06,Plan de Saint Petersbourg : avec croquis du fort maritime Cronstadt : avec les phares qui indiquent le bosphore pour entrer le Golfe de Finlande ...,La Haye : lith. de L. et H. van Langenhuyzen,"Rosa, I.",,1854,,krt-1854-rus,De schaalaanduiding heeft betrekking op de hoofdkaart |,,,,,74.19 geografie van Europa |,Echelle de 1 a 12.500,,,"elk 52 x 56 cm of kleiner, op blad 70 x 104 cm",steendruk,3 kaarten op 1 blad,,lijst van gebouwen en straten met toelichting op de bijlage |,gedeeltelijk gekleurd |,12328127X,4.935 Sint-Petersburg (stad) | 4.935 Kronsjtadt |,Se---- 2 | ; krt-1854-rus,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1777,,2012-10-24,2012-10-24,1777,7378.cpd,/Kaarten/image/7378.cpd
,uklu 01-28-04,Kaart van den Dollard (bij laag water) en zijne omstreken : behoorende bij de Beschrijving daarvan,Te Groningen : bij J. Oomkens J. zoon etc.,"Stratingh, G.A.",,1855,,krt-1855-grp  kb-1854-grp-dlwo-c,,,,,,74.20 geografie van Nederland |,[ca. 1:80.000],,,42 x 45 cm,"lithografie, gekleurd",1 krt,,,Geplakt op linnen | Bibliotheek Backer | Gekleurd |,151263493,3.113 Dollard | 4.210.230 Oldambt |,BACKER PORT 03 NO06 | BACKER LIJST pr13 | ; krt-1855-grp,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1779,,2012-10-24,2012-10-24,1779,7380.cpd,/Kaarten/image/7380.cpd
,uklu 01-17-02,Kaart der provincie Noordbrabant,'s Hertogenbosch : M. van Osch,"Kuijpers, J.",,1855,,krt-1855-nbr,,,,,,74.20 geografie van Nederland |,Schaal 1:200.000,,,"38 x 66,5 cm",lithografie,1 krt,,,Geplakt op linnen |,13285449X,4.210.430 Noord-Brabant |,krt-1855-nbr,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1781,,2012-10-24,2012-10-24,1781,7382.cpd,/Kaarten/image/7382.cpd
,uklu 01-14-18,Molen koloniën tusschen het Damsterdiep en het Reitdiep,[Groningen] : s.n.,"Plemp, M.E.C.",,1856,,krt-1856-grp-krt  krt-1856-grp-toel,,,,,,74.20 geografie van Nederland |,Schaal 1:50.000,,,31 x 33 cm,lithografie,1 krt,,,Geplakt op linnen. In 2 dl.: krt en toel | Bibliotheek Backer |,134914546,4.210.230 Hunsingo | 4.210.230 Fivelingo | 4.210.230 Bedum | 4.210.230 Ten Boer |,BACKER PORT 05 NO01 | BACKER PORT 05 NO02 | BACKER LIJST pr20-21 | ; krt-1856-grp-krt,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1784,,2012-10-24,2012-10-24,1784,7385.cpd,/Kaarten/image/7385.cpd
,uklu 01-29-13,"Kaart van de molenpolders gelegen in het Zijlvest der Drie Delf zijlen : het Oostwolder -, Wold- en Farmsummer-zijlvest",Groningen : lith. v. E.D.H. Schutter,"Kater, J.",,1857,,krt-1857-grp-kvdm  krt-1857-grp-kvdm-toel,,,,,,74.20 geografie van Nederland |,Schaal 1:50.000,,,56 x 60 cm,lithografie,1 krt,,,"In fragmenten gesneden, geplakt op linnen , gekleurd |",146036026,4.210.230 Groningen (provincie) |,BACKER PORT 05 NO07 | BACKER LIJST pr26-27 | ; krt-1857-grp-kvdm,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1787,,2012-10-24,2012-10-24,1787,7388.cpd,/Kaarten/image/7388.cpd
,uklu 01-14-20,Molenkoloniën in de Termunter en Oterdummer zijlvestenijen,[Groningen] : s.n.,"Rijn, K.",,1857,,krt-1857-grp-mint-krt  krt-1857-grp-mint-toel,,,,,,74.20 geografie van Nederland |,Schaal 1:50.000,,,50 x 35 cm,lithografie,1 krt,,,"Gekleurd, geplakt op linnen | Bibliotheek Backer |",134918584,4.210.230 Oterdum | 4.210.230 Termunter zijlvest |,BACKER PORT 05 NO05 | BACKER PORT 05 NO06 | BACKER LIJST pr24-25 | ; krt-1857-grp-mint-krt,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1790,,2012-10-24,2012-10-24,1790,7391.cpd,/Kaarten/image/7391.cpd
,uklu 01-14-19,"Molenkoloniën in de Vier Karspelen en Bellingwolder zijlvestenijen, de Oostwolder- en Stadspolders",[Groningen] : s.n.,"Rijn, K.",,1857,,krt-1857-grp-minv-krt  krt-1857-grp-minv-toel,,,,,,74.20 geografie van Nederland |,Schaal 1:50.000,,,"44 x 37,5 cm",lithografie,1 krt,,,"Gekleurd, geplakt op linnen. In 2 dl., krt en toel | Bibliotheek Backer |",134916794,4.210.230 Oldambt | 4.210.230 Westerwolde |,BACKER PORT 05 NO03 | BACKER PORT 05 NO04 | BACKER LIJST pr22-23 | ; krt-1857-grp-minv-krt,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1793,,2012-10-24,2012-10-24,1793,7394.cpd,/Kaarten/image/7394.cpd
,uklu 01-14-21,Molenkoloniën op de Pekel A en Westerwoldsche A,[Groningen] : s.n.,"Rijn, K.",,1857,,krt-1857-grp-modp-krt  krt-1857-modp-toel,,,,,,74.20 geografie van Nederland |,Schaal 1:50.000,,,"21 x 40,5 cm",lithografie,1 krt,,,"Gekleurd, geplakt op linnen | Bibliotheek Backer |",134919513,4.210.230 Westerwolde |,BACKER PORT 05 NO07 | BACKER PORT 05 NO08 | BACKER LIJST pr30-31 | ; krt-1857-grp-modp-krt,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1796,,2012-10-24,2012-10-24,1796,7397.cpd,/Kaarten/image/7397.cpd
,uklu 01-15-09,Molenkoloniën op het Winschoterdiep,Gron[ingen] : E.D.H. Schutter,"Rijn, K.",,1857,,krt-1857-grp-mohw-krt  krt-1857-grp-mohw-toel,,,,,,21.71 utilitaire bouwkunst |,Schaal van 1:50.000,,,"31,5 x 63,5 cm","lithografie, in kleur",1 krt,,,"In 2 fragmenten gesneden, geplakt op linnen | Bibliotheek Backer |",152526579,4.210.230 Groningen (provincie) |,BACKER PORT 05 NO09 | BACKER PORT 05 NO10 | BACKER LIJST pr28-29 | ; krt-1857-grp-mohw-krt,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1799,,2012-10-24,2012-10-24,1799,7400.cpd,/Kaarten/image/7400.cpd
,uklu 01-15-05,"Hoogteschaal der bouten, slagdorpels, sluisdeuren en andere vaste punten : ontleend aan de waterpassingen van Groningen langs het Reitdiep en den zeedijk van Groningen langs het Boterdiep via Groot Zeewijk langs den zeedijk gedaan door [...] M.E.C. Plemp",[S.l. : s.n.],"Rijn, K.",,1857,,krt-1857-grp-toel,,,,,,56.30 waterbouwkundige constructies |,"Hoogteschaal 1:50, lengteschaal 1:100.000",,,34 x 95 cm,lithogr,1 kartografisch document,,,Geplakt op linnen | Bibliotheek Backer |,155653792,4.210.230 Groningen (provincie) |,BACKER PORT 02 NO20 | BACKER LIJST pr19 | ; krt-1857-grp-toel,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1801,,2012-10-24,2012-10-24,1801,7402.cpd,/Kaarten/image/7402.cpd
,uklu 01-13-09,"Platte grond der stad Groningen, in den jare 1857",[Groningen] : H.R. Roelfsema,"Tietsema, W.",,1857,,krt-1857-grs  krt-1857-grs-a  kb-1857-grs-pgsg-498,,,,,,74.20 geografie van Nederland |,[ca. 1:5.000],,,39 x 53 cm,kleurenlithografie,1 plattegrond,,,"Geplakt op linnen | Bibliotheek Backer | Geplakt op papier, randen iets beschadigd | Kaart gevouwen in boek aan het eind van dl. 2 | Kaart gevouwen in boek aan het eind van dl. 2 |",108918947,4.210.230 Groningen (stad) |,BACKER PORT 09 NO18 | BB portef. IX no. 18 | ; krt-1857-grs,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1804,,2012-10-24,2012-10-24,1804,7405.cpd,/Kaarten/image/7405.cpd
